City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
118,Kaka,TM,2022-07-19 06:48:36,37.3482,59.6143,99.19,15,0,8.7
119,Upernavik,GL,2022-07-19 06:48:36,72.7868,-56.1549,42.67,82,98,6.71
120,Geraldton,AU,2022-07-19 06:48:36,-28.7667,114.6,68.41,60,40,5.75
121,Caravelas,BR,2022-07-19 06:41:31,-17.7125,-39.2481,68.34,88,62,2.91
122,Tagusao,PH,2022-07-19 06:48:37,9.1924,117.8141,83.61,70,100,0.29
123,Lloro,CO,2022-07-19 06:48:37,5.4961,-76.5495,74.41,98,100,2.06
124,Santa Rosalia,MX,2022-07-19 06:45:16,27.3167,-112.2833,85.39,44,14,9.33
125,Oussouye,SN,2022-07-19 06:48:38,12.485,-16.5469,80.69,87,100,5.59
126,Mar Del Plata,AR,2022-07-19 06:45:47,-38.0023,-57.5575,38.88,90,0,4.61
127,Kholodnyy,RU,2022-07-19 06:48:39,62.7167,147.95,80.64,41,100,17.54
128,Avera,US,2022-07-19 06:48:40,33.194,-82.5271,77.56,83,0,6.96
129,Torzhok,RU,2022-07-19 06:48:40,57.0436,34.9622,58.23,66,100,6.31
130,Longyearbyen,SJ,2022-07-19 06:48:40,78.2186,15.6401,57.04,67,75,17.27
131,Jamestown,US,2022-07-19 06:44:10,42.097,-79.2353,69.71,86,0,8.05
132,Arraial Do Cabo,BR,2022-07-19 06:48:41,-22.9661,-42.0278,68.86,90,100,13.85
133,Talnakh,RU,2022-07-19 06:48:41,69.4865,88.3972,69.21,37,20,17.25
134,Bredasdorp,ZA,2022-07-19 06:48:42,-34.5322,20.0403,52.93,87,100,4.36
135,Austin,US,2022-07-19 06:45:02,30.2672,-97.7431,84.83,72,0,14.97
136,Camapua,BR,2022-07-19 06:48:42,-19.5314,-54.0439,67.96,51,98,6.4
137,Sabha,LY,2022-07-19 06:48:43,27.0377,14.4283,81.54,32,0,17.78
138,Baryshivka,UA,2022-07-19 06:48:43,50.361,31.3217,64.49,61,100,8.41
139,Port Alfred,ZA,2022-07-19 06:45:57,-33.5906,26.891,66.07,54,84,3.31
140,Garissa,KE,2022-07-19 06:48:44,-0.4536,39.6401,80.11,55,53,19.22
141,Kaniama,CD,2022-07-19 06:48:44,-7.5667,24.1833,75.67,35,65,4.81
142,Doctor Arroyo,MX,2022-07-19 06:48:44,23.6667,-100.1833,64.06,84,96,7.02
143,Vila Velha,BR,2022-07-19 06:48:45,-20.3297,-40.2925,66.94,90,0,0.0
144,Tiksi,RU,2022-07-19 06:48:45,71.6872,128.8694,33.64,86,100,21.27
145,Bandarbeyla,SO,2022-07-19 06:48:46,9.4942,50.8122,85.82,46,13,34.14
146,Kalininsk,RU,2022-07-19 06:48:46,51.5,44.4758,69.73,50,0,14.12
147,Qaanaaq,GL,2022-07-19 06:48:46,77.484,-69.3632,39.99,75,89,0.74
148,Misratah,LY,2022-07-19 06:48:47,32.3754,15.0925,82.45,55,0,4.76
149,Suzun,RU,2022-07-19 06:48:47,53.7841,82.3116,73.8,39,93,10.63
150,Tarija,BO,2022-07-19 06:48:48,-21.5355,-64.7296,49.44,68,29,2.04
151,Carnarvon,AU,2022-07-19 06:48:48,-24.8667,113.6333,71.67,64,0,17.27
152,Damaturu,NG,2022-07-19 06:48:49,11.747,11.9608,76.06,76,18,12.26
153,Vung Tau,VN,2022-07-19 06:48:49,10.346,107.0843,84.69,77,51,10.96
154,Lorengau,PG,2022-07-19 06:37:17,-2.0226,147.2712,81.81,75,100,4.7
155,Arkhara,RU,2022-07-19 06:48:50,49.4212,130.0842,76.57,68,85,4.59
156,Willowmore,ZA,2022-07-19 06:48:50,-33.2926,23.4895,56.52,46,86,3.47
157,Pavlovskiy,RU,2022-07-19 06:48:50,57.8424,54.8436,69.28,86,94,9.22
158,Los Llanos De Aridane,ES,2022-07-19 06:48:51,28.6585,-17.9182,66.13,93,20,12.66
159,Chapais,CA,2022-07-19 06:47:46,49.7834,-74.8492,67.78,95,100,5.37
160,Katherine,AU,2022-07-19 06:48:51,-14.4667,132.2667,88.12,29,69,10.36
161,Acajutla,SV,2022-07-19 06:48:52,13.5928,-89.8275,80.22,78,100,3.83
162,Lagoa,PT,2022-07-19 06:41:07,39.05,-27.9833,68.02,89,100,13.56
163,Okha,RU,2022-07-19 06:48:53,53.5739,142.9478,53.71,96,100,13.04
164,Leningradskiy,RU,2022-07-19 06:48:53,69.3833,178.4167,35.37,90,100,9.04
165,Uvira,CD,2022-07-19 06:48:53,-3.4067,29.1458,77.07,56,59,1.95
166,Kamennogorsk,RU,2022-07-19 06:48:54,60.9545,29.1339,64.29,51,17,5.37
167,Nur,PL,2022-07-19 06:48:54,52.6683,22.3221,63.5,81,100,4.0
168,Henties Bay,NA,2022-07-19 06:41:03,-22.116,14.2845,56.91,90,11,2.86
169,Mitu,CO,2022-07-19 06:48:55,1.1983,-70.1733,70.03,99,88,1.12
170,Jinka,ET,2022-07-19 06:48:56,5.65,36.65,72.18,49,99,6.04
171,Kohlu,PK,2022-07-19 06:44:25,29.8962,69.252,88.02,46,1,2.75
172,Nikolskoye,RU,2022-07-19 06:48:57,59.7035,30.7861,66.87,52,19,6.02
173,Waddan,LY,2022-07-19 06:48:57,29.1614,16.139,81.82,39,0,9.13
174,Kadyy,RU,2022-07-19 06:48:58,57.787,43.1903,61.36,88,98,9.53
175,Nome,US,2022-07-19 06:47:58,64.5011,-165.4064,42.87,87,100,16.11
176,Dehloran,IR,2022-07-19 06:48:58,32.6941,47.2679,113.07,6,0,5.12
177,Port Hardy,CA,2022-07-19 06:48:59,50.6996,-127.4199,57.38,94,100,3.44
178,Mandalgovi,MN,2022-07-19 06:40:40,45.7625,106.2708,86.61,15,86,13.73
179,Burns Lake,CA,2022-07-19 06:47:52,54.2331,-125.7533,53.02,96,100,4.16
180,Victoria,HK,2022-07-19 06:49:00,22.2855,114.1577,91.96,72,100,15.01
181,Bethel,US,2022-07-19 06:49:00,41.3712,-73.414,72.36,92,75,6.91
182,Potamia,GR,2022-07-19 06:49:01,40.7163,24.7286,76.64,46,0,12.46
183,Forbes,AU,2022-07-19 06:49:01,-33.3833,148.0167,56.91,55,100,11.36
184,Soria,ES,2022-07-19 06:49:01,41.6667,-2.6667,70.86,37,0,5.21
185,Dudinka,RU,2022-07-19 06:49:02,69.4058,86.1778,69.62,41,8,25.32
186,Saskylakh,RU,2022-07-19 06:49:02,71.9167,114.0833,49.82,46,100,17.31
