City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
462,Nanortalik,GL,60.1432,-45.2371,47.64,79,8,3.36,clear sky
463,Quatre Cocos,MU,-20.2078,57.7625,75.09,70,57,16.89,light rain
464,Galle,LK,6.0367,80.217,80.73,82,100,16.4,overcast clouds
465,Sai Buri,TH,6.7013,101.6168,85.71,70,51,7.7,broken clouds
466,Tupik,RU,54.4253,119.9327,74.17,80,87,3.91,overcast clouds
467,Weyburn,CA,49.6668,-103.8511,55.62,82,4,2.3,clear sky
468,Lagoa Vermelha,BR,-28.2086,-51.5258,56.73,94,96,3.6,overcast clouds
469,Ruteng,ID,-8.6136,120.4721,63.59,91,99,1.68,overcast clouds
470,Baiquan,CN,47.5833,126.0833,75.45,73,20,7.83,few clouds
471,Comarapa,BO,-17.9,-64.4833,46.0,93,10,1.95,clear sky
472,Disna,BY,55.568,28.1971,78.28,52,0,2.28,clear sky
473,Baghdad,IQ,33.3406,44.4009,111.11,13,0,9.22,clear sky
474,Makakilo City,US,21.3469,-158.0858,77.32,70,0,13.8,clear sky
475,Urusha,RU,54.05,122.9,75.9,63,80,4.09,broken clouds
476,Nantucket,US,41.2835,-70.0995,75.99,72,20,6.91,mist
477,Chabua,IN,27.4825,95.1736,89.55,70,75,0.0,haze
478,Byron Bay,AU,-28.65,153.6167,61.95,83,100,20.8,overcast clouds
479,Kamina,CD,-8.7386,24.9906,84.2,26,16,10.4,few clouds
480,Itoman,JP,26.1247,127.6694,86.77,82,40,11.5,scattered clouds
481,Charters Towers,AU,-20.1,146.2667,61.25,48,1,9.6,clear sky
482,Nizhniy Odes,RU,63.6445,54.856,70.47,20,4,7.49,clear sky
483,Moron,AR,-34.6534,-58.6198,49.96,96,0,5.03,clear sky
484,Redmond,US,47.674,-122.1215,61.05,82,34,5.01,scattered clouds
485,Mutis,CO,6.2262,-77.4044,76.53,88,98,4.43,moderate rain
486,Olinda,BR,-8.0089,-34.8553,71.33,94,75,11.5,broken clouds
487,Rizhao,CN,35.4275,119.4553,81.39,75,100,4.72,overcast clouds
488,Faanui,PF,-16.4833,-151.75,77.22,75,18,12.5,light rain
489,Waitati,NZ,-45.75,170.5667,43.81,79,100,5.06,overcast clouds
490,Tautira,PF,-17.7333,-149.15,75.9,78,30,13.04,scattered clouds
491,Pasni,PK,25.2631,63.471,84.16,81,54,11.68,broken clouds
492,Bonnyville,CA,54.2668,-110.735,60.6,83,90,9.31,overcast clouds
493,Thinadhoo,MV,0.5333,72.9333,78.4,81,100,2.59,overcast clouds
494,Linjiang,CN,41.8069,126.9078,74.55,87,46,3.06,scattered clouds
495,Dubrovnik,HR,42.6481,18.0922,91.04,33,0,5.75,clear sky
496,Saint-Georges,GD,12.0564,-61.7485,80.28,83,20,10.36,few clouds
497,Liwale,TZ,-9.7667,37.9333,83.3,32,8,7.4,clear sky
498,Giyani,ZA,-23.3025,30.7187,72.91,51,11,6.91,light rain
499,Dauriya,RU,49.9333,116.8667,80.69,53,93,10.36,overcast clouds
500,Terskaya,RU,43.7238,44.7244,84.61,33,50,6.62,scattered clouds
501,Akyab,MM,20.15,92.9,83.53,78,91,9.69,moderate rain
